question,value,positive_answer,negative_answer
Can someone's behaviors be contrary to their true feelings?,Social Complexity,One's behaviors may be contrary to his or her true feelings.,
Can people behave unpredictably?,Social Complexity,People may behave unpredictably.,
Can a person change drastically in a short time?,Social Complexity,A person can change drastically in a short time.,
Are there many equally good ways to deal with a problem?,Social Complexity,There are many equally good ways to deal with a problem.,
Does human behavior change with the social context?,Social Complexity,Human behavior changes with the social context.,
Can a situation change drastically in an unexpected direction?,Social Complexity,A situation can change drastically in an unexpected direction.,
Can different versions of the same reality all be true?,Social Complexity,Different versions of the same reality can all be true.,
Is every person unique?,Social Complexity,Every person is unique.,
Are current losses not necessarily bad for my long-term future?,Social Complexity,Current losses are not necessarily bad for one's long-term future.,
Should I be flexible in life to achieve happiness?,Social Complexity,Being flexible in life is the key to happiness.,
Does fate determine one's successes and failures?,Fate Determinism,Fate determines one's successes and failures.,
Does fate determine a person's success in life?,Fate Determinism,Fate determines a person's success in life.,
Are matters of life and death determined by fate?,Fate Determinism,Matters of life and death are determined by fate.,
Are the people I will love in my life determined by fate?,Fate Determinism,The people whom a person will love in his or her life are determined by fate.,
Is people's wealth determined by fate?,Fate Determinism,People's wealth is determined by fate.,
Are some people born lucky?,Fate Determinism,Some people are born lucky.,
Does fortune come when you least expect it?,Fate Determinism,Fortune comes when you least expect it.,
Can luck be enhanced by certain tactics?,Fate Alterability,Luck can be enhanced by certain tactics.,
"Can individual characteristics, such as appearance and birthday, reveal one's fate?",Fate Alterability,"Individual characteristics, such as appearance and birthday, can reveal one's fate.",
Are there ways for people to find out about their fate?,Fate Alterability,There are ways for people to find out about their fate.,
Are there certain ways for people to improve their destiny?,Fate Alterability,There are certain ways for people to improve their destiny.,
"Do individual characteristics, such as appearance and birthday, affect my fate?",Fate Alterability,"Individual characteristics, such as appearance and birthday, affect one's fate.",
Are there certain ways to help us improve our luck and avoid unlucky things?,Fate Alterability,There are certain ways to help us improve our luck and avoid unlucky things.,
Can major events in people's lives be predicted?,Fate Alterability,Major events in people's life can be predicted.,
Are there many ways for people to predict what will happen in the future?,Fate Alterability,There are many ways for people to predict what will happen in the future.,
Can most disasters be predicted?,Fate Alterability,Most disasters can be predicted.,
Will good luck follow if I survive a disaster?,Fate Alterability,Good luck follows if one survives a disaster.,
Will believing in a religion help me understand the meaning of life?,Religiosity,Belief in a religion helps one understand the meaning of life.,
Does religion help people make good choices for their lives?,Religiosity,Religion helps people make good choices for their lives.,
Does religious faith contribute to good mental health?,Religiosity,Religious faith contributes to good mental health.,
Is there a supreme being controlling the universe?,Religiosity,There is a supreme being controlling the universe.,
Does religion make people healthier?,Religiosity,Religion makes people healthier.,
Does religion make people happier?,Religiosity,Religion makes people happier.,
Will belief in a religion make people good citizens?,Religiosity,Belief in a religion makes people good citizens.,
Should practicing a religion unite me with others?,Religiosity,Practicing a religion unites people with others.,
Are religious people more likely to maintain moral standards?,Religiosity,Religious people are more likely to maintain moral standards.,
Should I believe that evidence of a supreme being is everywhere for those who seek its signs?,Religiosity,Evidence of a supreme being is everywhere for those who seek its signs.,
Are the successes of some people usually also the failures of others?,Belief in Zero-sum Game,The successes of some people are usually also the failures of others.,
Does someone getting richer mean that someone else gets poorer?,Belief in Zero-sum Game,If someone gets richer it means that someone else gets poorer.,
"Is life devised so that when somebody gains, others have to lose?",Belief in Zero-sum Game,"Life is so devised that when somebody gains, others have to lose.",
Are the interests of different people inconsistent in most situations?,Belief in Zero-sum Game,In most situations interests of different people are inconsistent.,
Is life like a tennis game where a person wins only when others lose?,Belief in Zero-sum Game,Life is like a tennis game—a person wins only when others lose.,
"Does it mean that when some people are getting poorer, other people are getting richer?",Belief in Zero-sum Game,When some people are getting poorer it means that other people are getting richer.,
Will I lose if I do much for others?,Belief in Zero-sum Game,When someone does much for others he or she loses.,
Is the wealth of a few acquired at the expense of many?,Belief in Zero-sum Game,The wealth of a few is acquired at the expense of many.,
Will I profit if I do much for the good of others?,Belief in Joint Profit Exchange,"When a person does much for the good of others, he or she profits as well.",
Should those who give much to others receive much from them?,Belief in Joint Profit Exchange,Those who give much to others receive much from them.,
Should people who do much for their own good frequently benefit others as well?,Belief in Joint Profit Exchange,People who do much for their own good frequently benefit others as well.,
Will poorer people benefit if the number of rich people increases in the country?,Belief in Joint Profit Exchange,"When the number of rich people increases in the country, the poorer people benefit as well.",
Is compassion for those who are suffering the most crucial virtue?,Care,Compassion for those who are suffering is the most crucial virtue.,
Should the number one principle be ensuring that everyone is treated fairly when the government makes laws?,Fairness,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",
Should I be proud of my country's history?,Loyalty,I am proud of my country's history.,
Should all children learn respect for authority?,Authority,Respect for authority is something all children need to learn.,
"Should people avoid doing things that are disgusting, even if no one is harmed?",Purity,"People should not do things that are disgusting, even if no one is harmed. ",
Is hurting a defenseless animal one of the worst things a person could do?,Care,One of the worst things a person could do is hurt a defenseless animal.,
Is justice the most important requirement for a society?,Fairness,Justice is the most important requirement for a society.,
"Should I be loyal to my family members, even when they have done something wrong?",Loyalty,"People should be loyal to their family members, even when they have done something wrong.  ",
Should men and women each have different roles to play in society?,Authority,Men and women each have different roles to play in society.,
Should I call some acts wrong on the grounds that they are unnatural?,Purity,I would call some acts wrong on the grounds that they are unnatural.,
Should it never be right to kill a human being?,Care,It can never be right to kill a human being.,
Is it morally wrong that rich children inherit a lot of money while poor children inherit nothing?,Fairness,I think it's morally wrong that rich children inherit a lot of money while poor children inherit nothing.,
Is it more important to be a team player than to express myself?,Loyalty,It is more important to be a team player than to express oneself.,
Should I obey my commanding officer's orders even if I disagree with them because it is my duty?,Authority,"If I were a soldier and disagreed with my commanding officer's orders, I would obey anyway because that is my duty.",
Is chastity an important and valuable virtue?,Purity,Chastity is an important and valuable virtue.,
Is something wrong when someone suffers emotionally?,Care,Something is wrong when someone suffered emotionally.,
Is it wrong when some people are treated differently than others?,Fairness,It is wrong when some people were treated differently than others.,
Is it right when someone's action shows love for their country?,Loyalty,It is right when someone's action showed love for his or her country.,
Is it wrong when someone shows a lack of respect for authority?,Authority,It is wrong when someone showed a lack of respect for authority.,
Is it wrong when someone violates standards of purity and decency?,Purity,It is wrong when someone violated standards of purity and decency.,
Is it right to care for someone who is weak or vulnerable?,Care,It is right when someone cared for someone weak or vulnerable.,
Is it wrong when someone acts unfairly?,Fairness,It is wrong when someone acted unfairly.,
Is it wrong when someone betrays their group?,Loyalty,It is wrong when someone did something to betray his or her group.,
Is it right to conform to the traditions of society?,Authority,It is right when someone conformed to the traditions of society.,
Is it wrong when someone does something disgusting?,Purity,It is wrong when someone did something disgusting.,
Is it wrong when someone is cruel?,Care,It is wrong when someone was cruel.,
Is it wrong when someone is denied their rights?,Fairness,It is wrong when someone was denied his or her rights.,
Is it wrong when someone shows a lack of loyalty?,Loyalty,It is wrong when someone showed a lack of loyalty.,
Is it wrong when an action causes chaos or disorder?,Authority,It is wrong when an action caused chaos or disorder.,
Is it right when someone acts in a way that God would approve of?,Purity,It is right when someone acted in a way that God would approve of.,
Is caring for people who have suffered an important virtue?,Care,Caring for people who have suffered is an important virtue.,
Would the world be a better place if everyone made the same amount of money?,Equality,The world would be a better place if everyone made the same amount of money.,
Should people who are more hardworking end up with more money?,Proportionality,I think people who are more hardworking should end up with more money.,
Should children be taught to be loyal to their country?,Loyalty,I think children should be taught to be loyal to their country.,
Should societies cherish their traditional values?,Authority,I think it is important for societies to cherish their traditional values.,
"Should I treat the human body like a temple, housing something sacred within?",Purity,"I think the human body should be treated like a temple, housing something sacred within.",
Should I believe that compassion for those who are suffering is one of the most crucial virtues?,Care,I believe that compassion for those who are suffering is one of the most crucial virtues.,
Would our society have fewer problems if people had the same income?,Equality,Our society would have fewer problems if people had the same income.,
Should people be rewarded in proportion to what they contribute?,Proportionality,I think people should be rewarded in proportion to what they contribute.,
Should it upset me when people have no loyalty to their country?,Loyalty,It upsets me when people have no loyalty to their country.,
Should I feel that most traditions serve a valuable function in keeping society orderly?,Authority,I feel that most traditions serve a valuable function in keeping society orderly.,
Should I believe chastity is an important virtue?,Purity,I believe chastity is an important virtue.,
Should we all care for people who are in emotional pain?,Care,We should all care for people who are in emotional pain.,
Should everyone be given the same quantity of resources in life?,Equality,I believe that everyone should be given the same quantity of resources in life.,
Should the effort a worker puts into a job be reflected in the size of a raise they receive?,Proportionality,The effort a worker puts into a job ought to be reflected in the size of a raise they receive.,
Should I love my own community?,Loyalty,Everyone should love their own community.,
Should I think obedience to parents is an important virtue?,Authority,I think obedience to parents is an important virtue.,
Should it upset me when people use foul language like it is nothing?,Purity,It upsets me when people use foul language like it is nothing.,
Should I be empathetic toward those people who have suffered in their lives?,Care,I am empathetic toward those people who have suffered in their lives.,
Should everyone in society wind up with roughly the same amount of money?,Equality,I believe it would be ideal if everyone in society wound up with roughly the same amount of money.,
Should it make me happy when people are recognized on their merits?,Proportionality,It makes me happy when people are recognized on their merits.,
Should everyone defend their country if called upon?,Loyalty,"Everyone should defend their country, if called upon.",
Should we all learn from our elders?,Authority,We all need to learn from our elders.,
Should I feel uneasy about an acquaintance if I found out they had an unusual but harmless sexual fetish?,Purity,If I found out that an acquaintance had an unusual but harmless sexual fetish I would feel uneasy about them.,
Should I try to comfort people who are going through something hard?,Care,Everyone should try to comfort people who are going through something hard.,
"Should people share the rewards equally when working together toward a common goal, even if some worked harder on it?",Equality,"When people work together toward a common goal, they should share the rewards equally, even if some worked harder on it.",
Should those who work hard live with higher standards of living in a fair society?,Proportionality,"In a fair society, those who work hard should live with higher standards of living.",
Should I feel proud when a person in my community wins in an international competition?,Loyalty,Everyone should feel proud when a person in their community wins in an international competition.,
Should I believe that one of the most important values to teach children is to have respect for authority?,Authority,I believe that one of the most important values to teach children is to have respect for authority.,
Should I try to use natural medicines rather than chemically identical human-made ones?,Purity,People should try to use natural medicines rather than chemically identical human-made ones.,
Should it pain me when I see someone ignoring the needs of another human being?,Care,It pains me when I see someone ignoring the needs of another human being.,
Should I get upset when some people have a lot more money than others in my country?,Equality,I get upset when some people have a lot more money than others in my country.,
Should I feel good when I see cheaters get caught and punished?,Proportionality,I feel good when I see cheaters get caught and punished.,
Should I believe the strength of a sports team comes from the loyalty of its members to each other?,Loyalty,I believe the strength of a sports team comes from the loyalty of its members to each other.,
Should I think having a strong leader is good for society?,Authority,I think having a strong leader is good for society.,
Should I admire people who keep their virginity until marriage?,Purity,I admire people who keep their virginity until marriage.,
Should I think of myself as emotionally expressive?,Emotional expressiveness,I think of myself as emotionally expressive.,
Can people read my emotions?,Emotional expressiveness,People can read my emotions.,
Should I display my emotions to other people?,Emotional expressiveness,I display my emotions to other people.,
Should I be able to cry in front of other people?,Emotional expressiveness,lam able to cry in front of other people.,
Should I be unable to hide the way I'm feeling?,Emotional expressiveness,I can't hide the way I'm feeling.,
Do other people believe me to be very emotional?,Emotional expressiveness,Other people believe me to be very emotional.,
Should I control my emotions by changing the way I think about the situation I'm in?,Cognitive reappraisal,I control my emotions by changing the way I think about the situation I'm in.,
Should I change the way I'm thinking about a situation when I want to feel less negative emotion?,Cognitive reappraisal,"When I want to feel less negative emotion, I change the way I'm thinking about the situation.",
Should I change the way I'm thinking about the situation when I want to feel more positive emotion?,Cognitive reappraisal,"When I want to feel more positive emotion, I change the way I'm thinking about the situation.",
"Should I change what I'm thinking about when I want to feel more positive emotion, like joy or amusement?",Cognitive reappraisal,"When I want to feel more positive emotion (such as joy or amusement), I change what I'm thinking about.",
"Should I change what I'm thinking about when I want to feel less negative emotion, like sadness or anger?",Cognitive reappraisal,"When I want to feel less negative emotion (such as sadness or anger), I change what I'm thinking about.",
Should I make myself think about a stressful situation in a way that helps me stay calm?,Cognitive reappraisal,"When I'm faced with a stressful situation, I make myself think about it in a way that helps me stay calm.",
Should I control my emotions by not expressing them?,Expressive suppression,I control my emotions by not expressing them.,
Should I make sure not to express my negative emotions when I am feeling them?,Expressive suppression,"When I am feeling negative emotions, I make sure not to express them.",
Should I keep my emotions to myself?,Expressive suppression,I keep my emotions to myself.,
Should I be careful not to express my positive emotions when I am feeling them?,Expressive suppression,"When I am feeling positive emotions, I am careful not to express them.",
Should I ideally like to feel enthusiastic over the course of a typical week?,High-arousal positive affect,"Over the course of a typical week, I would ideally like to feel enthusiastic.",
Should I ideally like to feel excited over the course of a typical week?,High-arousal positive affect,"Over the course of a typical week, I would ideally like to feel excited.",
Should I ideally like to feel strong over the course of a typical week?,High-arousal positive affect,"Over the course of a typical week, I would ideally like to feel strong.",
Should I ideally like to feel elated over the course of a typical week?,High-arousal positive affect,"Over the course of a typical week, I would ideally like to feel elated.",
Should I ideally like to feel calm over the course of a typical week?,Low-arousal positive affect,"Over the course of a typical week, I would ideally like to feel calm.",
Should I ideally like to feel rested over the course of a typical week?,Low-arousal positive affect,"Over the course of a typical week, I would ideally like to feel rested.",
Should I ideally like to feel relaxed over the course of a typical week?,Low-arousal positive affect,"Over the course of a typical week, I would ideally like to feel relaxed.",
Should I ideally like to feel peaceful over the course of a typical week?,Low-arousal positive affect,"Over the course of a typical week, I would ideally like to feel peaceful.",
Should I ideally like to feel serene over the course of a typical week?,Low-arousal positive affect,"Over the course of a typical week, I would ideally like to feel serene.",
Should I lead a purposeful and meaningful life?,Psychosocial flourishing,I lead a purposeful and meaningful life.,
Should my social relationships be supportive and rewarding?,Psychosocial flourishing,My social relationships are supportive and rewarding.,
Should I be engaged and interested in my daily activities?,Psychosocial flourishing,I am engaged and interested in my daily activities.,
Should I actively contribute to the happiness and well-being of others?,Psychosocial flourishing,I actively contribute to the happiness and well-being of others.,
Am I competent and capable in the activities that are important to me?,Psychosocial flourishing,I am competent and capable in the activities that are important to me.,
Am I a good person who lives a good life?,Psychosocial flourishing,I am a good person and live a good life.,
Should I be optimistic about my future?,Psychosocial flourishing,I am optimistic about my future.,
Should people respect me?,Psychosocial flourishing,People respect me.,
"Should I prefer TV watching, public social activities, religious activities, and experiential activities over crafts, physical, and developmental activities?",Agreeableness,"Negatively correlated with crafts, physical, and developmental activities, and positively correlated with TV watching, public social activities, religious activities, and experiential activities.",
"Should I focus more on developmental activities and technology use rather than games, TV, and religious activities?",Openness to experience,"Most strongly correlated with developmental activities and technology use, with weaker positive relations with games, and negative relations with TV and religious activities.",
Should individuals high on extraversion engage more in private social activities and travel more?,Extraversion,Individuals high on extraversion engaged more in private social activities and traveled more.,
"Should I be associated with more engagement in physical, religious, and experiential activities, as well as more TV watching?",Conscientiousness,"Associated with more engagement in physical, religious, and experiential activities, as well as more TV watching.",
Should I be less involved in experiential activities?,Neuroticism,Indicated less involvement in experiential activities.,
Should I persistently complete a plan once I make it?,Resilience,"When I make a plan, I will persistently complete it.",
Should I often find a way to solve problems?,Resilience,I often find a way to solve problems.,
Should I rely on myself instead of depending on others?,Resilience,I can rely on myself instead of depending on others.,
Should I maintain interest in things?,Resilience,"For me, it is important to maintain interest in things.",
Should I rely on myself if necessary?,Resilience,"If necessary, I can rely on myself.",
Should I be proud of the things I have accomplished in my life?,Resilience,"In my life, I am proud of the things I have accomplished.",
Should I usually handle things in an orderly manner?,Resilience,I usually handle things in an orderly manner.,
Should I be my own friend and be happy even when alone?,Resilience,I am my own friend (I can be happy even when alone).,
Can I handle multiple things at the same time?,Resilience,I can handle multiple things at the same time.,
Should I consider myself a person of strong will?,Resilience,I am a person of strong will.,
Should I rarely doubt what I am doing (my life has a purpose)?,Resilience,I rarely doubt what I am doing (my life has a purpose).,
Should I solve problems step by step instead of trying to solve them all at once?,Resilience,"Faced with problems, I solve them step by step instead of trying to solve them all at once.",
Can I get through tough times because I have faced such difficulties before?,Resilience,I can get through tough times because I have faced such difficulties before.,
Should I be a disciplined person?,Resilience,I am a disciplined person.,
Should I maintain interest in things?,Resilience,I maintain interest in things.,
Should I often enjoy fun in work and life?,Resilience,I often enjoy fun in work and life.,
Will my self-belief help me through tough times?,Resilience,My self-belief (believing in my abilities) helps me through tough times.,
Should I be someone others can rely on in critical moments?,Resilience,"In critical moments, I am usually someone others can rely on.",
Should I often view things from different perspectives?,Resilience,I often view things from different perspectives.,
"Should I make myself do things, whether I want to or not?",Resilience,"Sometimes I make myself do things, whether I want to or not.",
Is my life meaningful?,Resilience,My life is meaningful.,
Should I not spend too much thought on things I can't control?,Resilience,I don't spend too much thought on things I can't control.,
Should I be able to find a solution when I am in trouble?,Resilience,"When I am in trouble, I can usually find a solution.",
Should I have enough energy to do what I want to do?,Resilience,I have enough energy to do what I want to do.,
Is it not a big deal if someone doesn't like me?,Resilience,"If someone doesn't like me, it's not a big deal.",
Should I get nervous and anxious more easily than usual?,Anxiety Disorder,I find myself getting nervous and anxious more easily than usual.,
Should I feel scared for no apparent reason?,Anxiety Disorder,I feel scared for no apparent reason.,
Should I easily get upset or feel panicked?,Anxiety Disorder,I easily get upset or feel panicked.,
Should I feel like I might be going crazy?,Anxiety Disorder,I feel like I might be going crazy.,
Should my hands and feet tremble and shake?,Anxiety Disorder,My hands and feet tremble and shake.,
"Should I be troubled by headaches, neck pain, and back pain?",Anxiety Disorder,"I am troubled by headaches, neck pain, and back pain.",
Should I feel weak and tired easily?,Anxiety Disorder,I feel weak and tired easily.,
Should I feel my heart beating very fast?,Anxiety Disorder,I feel my heart beating very fast.,
Should I be troubled by bouts of dizziness?,Anxiety Disorder,I am troubled by bouts of dizziness.,
Should I have fainting spells or feel like I am going to faint?,Anxiety Disorder,I have fainting spells or feel like I am going to faint.,
Should I experience numbness and tingling in my hands and feet?,Anxiety Disorder,I experience numbness and tingling in my hands and feet.,
Should I be troubled by stomach pain and indigestion?,Anxiety Disorder,I am troubled by stomach pain and indigestion.,
Should I need to urinate frequently?,Anxiety Disorder,I need to urinate frequently.,
Should my face get red and hot?,Anxiety Disorder,My face gets red and hot.,
Do I have nightmares?,Anxiety Disorder,I have nightmares.,
Should my life be close to my ideal in most ways?,Satisfaction with life,In most ways my life is close to my ideal.,
Should I consider the conditions of my life to be excellent?,Satisfaction with life,The conditions of my life are excellent.,
Should I be satisfied with my life?,Satisfaction with life,I am satisfied with my life.,
Have I gotten the important things I want in life so far?,Satisfaction with life,So far I have gotten the important things I want in life.,
Should I change almost nothing if I could live my life over?,Satisfaction with life,"If I could live my life over, I would change almost nothing.",
"Should I find relief through work, study, or other activities?",Positive coping,"Find relief through work, study, or other activities.",
Should I talk to people and share my inner troubles?,Positive coping,Talk to people and share inner troubles.,
Should I try to see the positive side of things?,Positive coping,Try to see the positive side of things.,
Should I change my mindset and rediscover what is important in life?,Positive coping,Change your mindset and rediscover what is important in life.,
Should I not take problems too seriously?,Positive coping,Do not take problems too seriously.,
Should I stand my ground and fight for what I want?,Positive coping,Stand your ground and fight for what you want.,
Should I find several different ways to solve problems?,Positive coping,Find several different ways to solve problems.,
"Should I seek advice from family, friends, or classmates?",Positive coping,"Seek advice from family, friends, or classmates.",
Should I change some of my habits or personal issues?,Positive coping,Change some of your habits or personal issues.,
Should I learn from how others handle similar difficult situations?,Positive coping,Learn from how others handle similar difficult situations.,
Should I engage in hobbies and actively participate in cultural and sports activities?,Positive coping,Engage in hobbies and actively participate in cultural and sports activities.,
"Can I work in my own way without being influenced, no matter the work group?",Positive coping,"No matter in what kind of work group, I can work in my own way without being influenced.",
Should the suggestions I make about work always be well considered by the leadership?,Positive coping,The suggestions I make about work are always well considered by the leadership.,
Should I have significant participation in decisions about work?,Positive coping,I have significant participation in decisions about work.,
Do I have enough time to complete my work?,Positive coping,I have enough time to complete my work.,
Should I have complete decision-making authority over my work?,Positive coping,I have complete decision-making authority over my work.,
Is the workload assigned to me just right?,Positive coping,The workload assigned to me is just right.,
Should I receive feedback on the quality of my work?,Positive coping,I receive feedback on the quality of my work.,
Should leaders and colleagues often provide support and help when I encounter difficulties?,Positive coping,Leaders and colleagues often provide support and help when I encounter difficulties.,
Should I feel upset and disoriented when unforeseeable events occur?,Tendency to preceive stress,The occurrence of some unforeseeable events often makes me feel upset and disoriented.,
Should I feel unable to control important aspects of my life?,Tendency to preceive stress,I tend to feel unable to control important aspects of my life.,
"Should I tend to feel nervous, anxious, and stressed?",Tendency to preceive stress,"I tend to feel nervous, anxious, and stressed.",
Should I find myself unable to cope with all the things that I have to do?,Tendency to preceive stress,I find myself unable to cope with all the things that I have to do.,
Should I often get angry because many things that happen are beyond my control?,Tendency to preceive stress,I often get angry because many things that happen are beyond my control.,
Should I feel that difficulties are piling up so high that I cannot overcome them?,Tendency to preceive stress,I often feel that difficulties are piling up so high that I cannot overcome them.,
Should I accept people as they are?,Agreeableness,I accept people as they are.,
Should I accomplish a lot of work?,Achievement,I accomplish a lot of work.,
Should I act without consulting others?,Self Reliance,I act without consulting others.,
Should I adapt easily to new situations?,Good-natured,I adapt easily to new situations.,
Should I always be busy?,Industriousness,I am always busy.,
Should I always be prepared?,Methodicalness,I am always prepared.,
Should I be exacting in my work?,Methodicalness,I am exacting in my work.,
Am I good at making impromptu speeches?,Extraversion,I am good at making impromptu speeches.,
Am I good at many things?,Endurance,I am good at many things.,
Am I good at taking advice?,Good-natured,I am good at taking advice.,
Should I be inclined to forgive others?,Agreeableness,I am inclined to forgive others.,
Should I be interested in many things?,Openness to Experience,I am interested in many things.,
Am I likely to show off if I get the chance?,Exhibition,I am likely to show off if I get the chance.,
Should I not be concerned with making a good impression?,Individualism,I am not concerned with making a good impression.,
Should I not be disturbed by events?,Agreeableness,I am not disturbed by events.,
Should I not be easily annoyed?,Even-tempered,I am not easily annoyed.,
Should I be open to change?,Openness to Experience,I am open to change.,
Should I consider myself skilled in handling social situations?,Extraversion,I am skilled in handling social situations.,
Should I be the life of the party?,Exhibition,I am the life of the party.,
Should I feel like I am under constant pressure?,Industriousness,I am under constant pressure.,
Should I amuse my friends?,Exhibition,I amuse my friends.,
Should I believe in the importance of art?,Breadth of Interest,I believe in the importance of art.,
Should I believe that events in my life are determined only by me?,Self Reliance,I believe that events in my life are determined only by me.,
Can I handle a lot of information?,Endurance,I can handle a lot of information.,
Can I manage many things at the same time?,Endurance,I can manage many things at the same time.,
Can I perform a wide variety of tasks?,Endurance,I can perform a wide variety of tasks.,
Should I be able to stand criticism?,Good-natured,I can stand criticism.,
Can I tackle anything?,Endurance,I can tackle anything.,
Can I talk others into doing things?,Extraversion,I can talk others into doing things.,
Can I work under pressure?,Endurance,I can work under pressure.,
Should I carry the conversation to a higher level?,Openness to Experience,I carry the conversation to a higher level.,
Should I choose my words with care?,Deliberateness,I choose my words with care.,
Should I complete tasks successfully?,Industriousness,I complete tasks successfully.,
Should I dislike being complimented?,Autonomy,I dislike being complimented.,
Should I dislike loud music?,Cognitive Structure,I dislike loud music.,
Should I do a lot in my spare time?,Achievement,I do a lot in my spare time.,
Should I do more than what's expected of me?,Achievement,I do more than what's expected of me.,
Should I do things men traditionally do?,Self Reliance,I do things men traditionally do.,
Should I do things my own way?,Self Reliance,I do things my own way.,
Should I do unpleasant tasks immediately?,Order,I do unpleasant tasks immediately.,
Should I not care about dressing nicely?,Independence,I don't care about dressing nicely.,
Should I not care what others think?,Independence,I don't care what others think.,
Should I not care whether I'm considered special?,Individualism,I don't care whether I'm considered special.,
Should I not mind being the center of attention?,Exhibition,I don't mind being the center of attention.,
Should I easily resist temptations?,Deliberateness,I easily resist temptations.,
Should I enjoy discussing movies and books with others?,Understanding,I enjoy discussing movies and books with others.,
Should I enjoy hearing new ideas?,Breadth of Interest,I enjoy hearing new ideas.,
Should I enjoy spending time by myself?,Autonomy,I enjoy spending time by myself.,
Should I excel in what I do?,Achievement,I excel in what I do.,
Should I express myself easily?,Extraversion,I express myself easily.,
Should I feel comfortable around people?,Affiliation,I feel comfortable around people.,
Is it OK that some people don't like me?,Independence,I feel it's OK that some people don't like me.,
Should I find it easy to manipulate others?,Dominance,I find it easy to manipulate others.,
Should I find political discussions interesting?,Understanding,I find political discussions interesting.,
Should I get excited by new ideas?,Breadth of Interest,I get excited by new ideas.,
Should I go my own way?,Autonomy,I go my own way.,
Do I have a natural talent for influencing people?,Extraversion,I have a natural talent for influencing people.,
Should I have a rich vocabulary?,Understanding,I have a rich vocabulary.,
Should I have a strong need for power?,Dominance,I have a strong need for power.,
Have I already gotten more than I deserve?,Abasement,I have already gotten more than I deserve.,
Should I have an eye for detail?,Order,I have an eye for detail.,
Should I have no sympathy for criminals?,Cognitive Structure,I have no sympathy for criminals.,
Do I have too many things to do?,Industriousness,I have too many things to do.,
Should I let myself be used?,Abasement,I let myself be used.,
Should I let other people take the credit for my work?,Abasement,I let other people take the credit for my work.,
Should I let people push me around to help them feel important?,Abasement,I let people push me around to help them feel important.,
Should I like having authority over others?,Dominance,I like having authority over others.,
Should I like music?,Breadth of Interest,I like music.,
Should I like order?,Methodicalness,I like order.,
Should I like to attract attention?,Exhibition,I like to attract attention.,
Should I like to be alone?,Autonomy,I like to be alone.,
Should I like to follow a regular schedule?,Cognitive Structure,I like to follow a regular schedule.,
Should I like to read?,Understanding,I like to read.,
Should I like to solve complex problems?,Endurance,I like to solve complex problems.,
Should I like to tidy up?,Order,I like to tidy up.,
Should I like to visit new places?,Change,I like to visit new places.,
Should I live in a world of my own?,Autonomy,I live in a world of my own.,
Should I love to learn new things?,Breadth of Interest,I love to learn new things.,
Should I love to read challenging material?,Understanding,I love to read challenging material.,
Should I make decisions quickly?,Self Reliance,I make decisions quickly.,
Should I make friends easily?,Affiliation,I make friends easily.,
Do I need things explained only once?,Endurance,I need things explained only once.,
Should I often forget to put things back in their proper place?,Order,I often forget to put things back in their proper place.,
Should I pay attention to details?,Methodicalness,I pay attention to details.,
Should I plunge into tasks with all my heart?,Achievement,I plunge into tasks with all my heart.,
Should I prefer to do things by myself?,Autonomy,I prefer to do things by myself.,
Should I prefer variety to routine?,Openness to Experience,I prefer variety to routine.,
Should I put up with anything?,Abasement,I put up with anything.,
Should I put work above pleasure?,Industriousness,I put work above pleasure.,
Should I rarely complain?,Even-tempered,I rarely complain.,
Should I rarely get irritated?,Even-tempered,I rarely get irritated.,
Should I rarely lose my composure?,Even-tempered,I rarely lose my composure.,
Should I remain calm under pressure?,Deliberateness,I remain calm under pressure.,
Should I respect authority?,Cognitive Structure,I respect authority.,
Should I sail my own course?,Independence,I sail my own course.,
Should I see myself as a good leader?,Dominance,I see myself as a good leader.,
Should I seek adventure?,Change,I seek adventure.,
Should I seldom get mad?,Even-tempered,I seldom get mad.,
Should I show a mastery of language?,Understanding,I show a mastery of language.,
Should I spend a lot of time reading?,Understanding,I spend a lot of time reading.,
Should I start conversations?,Affiliation,I start conversations.,
Should I take care of my own affairs?,Deliberateness,I take care of my own affairs.,
Should I take things as they come?,Agreeableness,I take things as they come.,
Should I talk to a lot of different people at parties?,Affiliation,I talk to a lot of different people at parties.,
Should I tolerate a lot from others?,Agreeableness,I tolerate a lot from others.,
Should I try to do things that are too difficult?,Change,I try to do too difficult things.,
Should I try to forgive and forget?,Agreeableness,I try to forgive and forget.,
Should I try to lead others?,Dominance,I try to lead others.,
Should I want everything to be just right?,Methodicalness,I want everything to be just right.,
Should I want things to proceed according to plan?,Cognitive Structure,I want things to proceed according to plan.,
Should I want to be in charge?,Dominance,I want to be in charge.,
Should I want to increase my knowledge?,Openness to Experience,I want to increase my knowledge.,
Should I warm up quickly to others?,Affiliation,I warm up quickly to others.,
Should I agree to anything?,Abasement,I will agree to anything.,
Should I work hard?,Industriousness,I work hard.,
Should I like to live for a while in a different country?,Change,I would like to live for awhile in a different country.,
Would I make a good actor?,Exhibition,I would make a good actor.,
Should I accept people as they are?,Calmness,I accept people as they are.,
Should I accomplish my work on time?,Conscientiousness,I accomplish my work on time.,
Should I act comfortably with others?,Friendliness,I act comfortably with others.,
Should I act wild and crazy?,Self-disclosure,I act wild and crazy.,
Should I adapt easily to new situations?,Happiness,I adapt easily to new situations.,
