argument_id,split,stance,question,value,positive_answer,negative_answer
A03016,training,against,Should we abolish the Olympic Games?,Benevolence: dependability,Olympic Games should not be banned. They are the tissue that solidify the friendship between nations in the world and a reminder of a peaceful world which should be the world vision,
A18166,training,against,Should we adopt a zero-tolerance policy in schools?,Universalism: concern,however these policies can impede the advancement of children from troubled backgrounds or with additional needs. they need a safe place to learn in a positive behaviours in a supportive environment.,
A21085,validation,against,Should Blockade of the Gaza Strip be ended?,Benevolence: dependability,the blockade is necessary in order to protect sovereignty.,
A19441,training,against,Should we abolish safe spaces?,Conformity: interpersonal,young people aren't conscious of what effect what they say has on someone else and a safe space prevents them from doing anything to anyone else,
A07072,training,in favor of,Should we legalize sex selection?,Humility,sex selection is the perfect solution to a family that has a history of all one gender.  many families want the perfect one and one so it's perfect for those as well.  it's a win no matter how you look.,
E07118,training,against,"Should The European Parliament have more powers, so Europe can stand against other world powers?",Humility,"The European Parliament has developed avenues for a common foreign and defense policy and should exercise its role this way. Also, there are prerogatives of a parliament to guide and control the external policies of the EU.",
A27345,training,in favor of,Should we introduce compulsory voting?,Self-direction: thought,compulsory voting would make sure that each and every person's voice is heard and provide a more accurate system of making sure the person elected is the one the people really want.,
A21295,training,against,Should we adopt libertarianism?,Self-direction: thought,there is no one right belief for all people and insisting that everyone is a libertarian deprive free choice,
A09082,training,in favor of,Should we ban factory farming?,Stimulation,Animals should not have to suffer to save a few dollars.   Businesses need to have better morals and treating animals with care should be a top priority regardless of the cost.   It also hurts small farmers.,
A30179,validation,against,Social media brings more harm than good?,Hedonism,it helps to connect people and create relationships,
A12050,training,in favor of,Should we ban cosmetic surgery for minors?,Humility,Allowing cosmetic surgery for minors makes it easy for minors to pressure well-intentioned parents even if it is objectively a bad decision. A ban prevents parents from being put in this situation.,
A18219,validation,in favor of,Social media brings more harm than good?,Conformity: interpersonal,social media does more harm as it emboldens people to be more self serving and vain as people do stuff on social media for likes and retweets.,
A18139,training,in favor of,Should we subsidize journalism?,Power: dominance,"Journalism plays an essential role as watchdog of democracy, and keeping citizens informed. Such a valuable industry deserves government subsidization.",
E06090,test,against,Should we distinguish freedom of opinion from hate speech?,Universalism: tolerance,"Who gets to decide what is 'hate speech'? Should the promotion of feminism be considered hate speech against men, or is only hate speech when you don't agree with someone?",
A25378,training,against,Should we legalize cannabis?,Benevolence: dependability,"Marijuana is part of drug culture so using it leads to other, much more dangerous drug use.",
A21214,training,against,Should we stop the development of autonomous cars?,Universalism: nature,they are environmentally friendly and can help minimize traffic congestion.,
E05129,training,against,Should The EU government encourage people to eat less meat?,Conformity: interpersonal,"No, this is a horrible idea to force people to go vegan. While I agree that we, as a society, are eating too much meat, which is bad for both the environment and our health, this will only create tension and anger towards the EU. ",
A28083,training,against,Should we prohibit school prayer?,Tradition,freedom of religion means children should be able to pray where they want to.,
A09005,training,against,Should we ban the Church of Scientology?,Tradition,"people should be allowed to join any club, cult, religious group they want.  the government should not have a say in what an individual wants to participate in.",
E06021,test,in favor of,Should we abolish limitation periods for sexual offenses?,Universalism: objectivity,"Sexual offences and other serious crimes giving rise to psychological trauma must be excluded from limitation periods, as it is often impossible for victims to remember, let alone report, within the limitation period.",
A29017,training,in favor of,Should we ban human cloning?,Benevolence: dependability,"Human cloning is a bad science. this science will endanger the world since the cloned humans will have no parents, no rights and will behave in free-will.",
A30260,training,in favor of,Should we ban human cloning?,Face,we should ban human cloning because we could all end up with designer babies and everyone will be the same.,
E05114,test,in favor of,Should we implement a chipped medical card as a medical ID shared across the EU?,Power: dominance,The EU Database should be made accessible for health studies and prevention in order to establish a European Basic Health care industry to overcome future pandemics.,
E07083,training,against,We need a single immigration policy?,Security: societal,"The EU cannot be heaven for the entire World. The reality requires that refugees must be stopped at the border and receive only temporary shelter.  The number is simply too big to give anyone: free housing, free living, free education, free medicare, and a free pension. Anybody arguing else is completely out of touch with reality. ",
A20134,training,in favor of,Should we legalize cannabis?,Hedonism,cannabis should be legalized because no link has been found to document a connection between cannabis use and mind altering drugs.,
A32268,test,against,Should we fight urbanization?,Stimulation,"people need houses, we need industry to give people a living and we need places for shopping and leisure. there is still plenty of green field land in the uk - we just need to utilize it better",
A24015,validation,in favor of,Should we subsidize vocational education?,Universalism: tolerance,vocational education helps students who don't do well in traditional education,
A23363,training,in favor of,Should we fight for the abolition of nuclear weapons?,Power: resources,nuclear weapons are expensive to maintain,
A18342,training,in favor of,Should we ban missionary work?,Benevolence: caring,"Sometimes, missionary workers condition the receipt of aid on a community's willingness to accept or be taught the Christian religion.",
A08019,training,in favor of,Should we abandon the use of school uniform?,Self-direction: thought,the school uniform is outdated and takes away individual personalities.,
A15010,training,in favor of,Should we ban private military companies?,Face,private military companies have no governmental controls and can do more harm then good.,
E05005,training,in favor of,Should The EU implement a common pension fund?,Power: resources,"The EU has some rules on how social security systems are coordinated (Regulation 883/2004/EC). EU rules ensure that the pension rights accrued in each country are added together and paid out by the pension insurance institution of the Member State of affiliation. But the bureaucratic nightmare is probably just as guaranteed.  A better solution would be a transparent and digital platform that collects pension entitlements from all EU member states. That way, every citizen would have an overview of his or her pension entitlements at all times, not just until when they are due.",
A22445,training,against,Should we ban whaling?,Power: resources,Whaling is an important industry in some countries for their economical stability.,
A12333,training,in favor of,Should we stop the development of autonomous cars?,Benevolence: dependability,autonomous cars can be hacked and become a dangerous weapon for evil persons,
E05022,validation,in favor of,Should we promote collaborative civic technologies for enhancing citizen participation as an added value to collaborative urban processes?,Power: dominance,"These platforms are an opportunity to encourage the creation of public value and new forms of citizen participation, especially in urban areas. ",
A19284,training,against,Should we abolish the Olympic Games?,Tradition,"the olympic games allow for a show of strength among a country's athletes in a sportsman like manner, allowing for global participation and unification.",
A25344,training,in favor of,Should we abolish intellectual property rights?,Universalism: concern,we should abolish intellectual property rights because the rich take advantage of the poor,
A32299,test,against,Should we end racial profiling?,Universalism: objectivity,racial profiling allows law enforcement to understand other races and when used correctly can be beneficial for all,
A25495,training,in favor of,Should we adopt a multi-party system?,Self-direction: thought,a multi party system would bring many new & fresh ideas into the forefront,
A22456,validation,in favor of,Homeopathy brings more harm than good?,Benevolence: dependability,people using homeopathic remedies instead of conventional medicine are more likely to die from a serious illness.,
A32004,test,against,Should we fight urbanization?,Benevolence: dependability,urbanization is the most efficient way to use scarce resources and may be the only way to fight overpopulation,
A19137,training,against,Should we adopt gender-neutral language?,Humility,we should not adopt gender-neutral language because the majority of people do identify with a gender and want to be addressed as such.,
E01104,validation,in favor of,Should we include young people in decision-making processes considering climate change?,Benevolence: dependability,Including young people in decision-making processes considering climate change could potentially help to address the gap between the widespread official rhetoric claiming a great interest in involving young people in discussion and policymaking when it comes to climate protection and politics in general and the reality that falls too often too short of these declarations.,
A28308,validation,in favor of,Social media brings more harm than good?,Self-direction: thought,social media contributes to the fomo culture.,
A31174,test,in favor of,Should we end racial profiling?,Universalism: objectivity,racial profiling can be more misleading than accurate and can discriminate against minority groups,
A18060,training,against,Should we prohibit school prayer?,Self-direction: thought,we shouldn't prohibit school prayer because is important for religious education,
A23377,training,against,Should we ban fast food?,Security: personal,fast food is okay in moderation and doesn't need to get banned,
A23336,training,against,Should we cancel pride parades?,Security: personal,pride parades are important demonstrations for equal rights,
A28172,training,in favor of,Should we end the use of economic sanctions?,Achievement,"bad actors can circumvent economic sanctions, meaning the people who suffer the most would be average, law-abiding citizens.",
A28481,training,against,Should we legalize sex selection?,Humility,we should not legalize sex selection because the sex we were assigned at birth is all that matters.,
A23167,training,against,Should we subsidize embryonic stem cell research?,Humility,embryonic stem cell research are using human eggs to grow in a lab.  these eggs could have been humans.  we are trying to play god and going beyond human rights.,
A29136,training,in favor of,Should we ban targeted killing?,Conformity: rules,targeted killing is a moral violation.,
A22280,training,in favor of,Should we oppose collectivism?,Self-direction: action,collectivism goes directly against the rights of individuals. individual freedom is what this country was founded on. it is rights violative to put the majority above individuals.,
A20153,training,against,Should we ban private military companies?,Achievement,"private military companies offer a unique way of dealing with a problem, one that keeps our actual government out of it.",
A23395,training,in favor of,Should we subsidize student loans?,Power: resources,"student loan debt is an enormous pressure on working people, and should be subsidized.",
A12089,training,in favor of,Should we abolish zoos?,Universalism: nature,we should abolish zoos because it dangerous and not good for the animals to be out of their natural habitat just for the purpose of human entertainment,
A30312,training,in favor of,Should we abolish safe spaces?,Universalism: objectivity,"Trigger warnings are sufficient in preventing someone from reliving trauma in the vast majority of instances, and therefore we should abolish safe spaces to maximize free speech.",
A26065,training,against,Should we oppose collectivism?,Security: personal,"A collectivist culture cultivates desirable values such as being kind, generous, and attentive to the needs of others.",
D03017,test,in favor of,India needs to address the issue of child labor?,Benevolence: dependability,"Due to a lack of education and proper guidance, they get influenced by criminals and take shortcuts to become rich, and end up committing crimes at a tender age. The rates of juvenile crime cases are increasing day by day in India.",
A29021,test,against,Should we close Guantanamo Bay detention camp?,Universalism: concern,guantanamo bay still houses criminals and keeps them from again hurting the public,
A32092,test,against,Should we ban naturopathy?,Self-direction: thought,"naturopathy is a gentler, more natural way to treat illnesses, and should be available as an option",
A19023,training,in favor of,Should we ban fast food?,Benevolence: dependability,fast food has almost non nutritional value. it is full of bad unhealthy ingredients and is causing the rise in health problems and obesity in the nation.,
A29500,training,against,Should we abolish the three-strikes laws?,Power: dominance,the three-strikes law serves as an effective deterrent and should not be abolished.,
A19217,training,in favor of,Should we abolish safe spaces?,Humility,"safe spaces are  a waste of time, and, honestly, can't even really be considered all that ""safe.""",
A32428,test,against,Should we fight urbanization?,Universalism: nature,"urbanization is more efficient and ""green"" due to a more organized and proximitous infrastructure.",
A22316,training,in favor of,Should we legalize prostitution?,Security: personal,"Legalizing prostitution will make sex workers safer because they will no longer have to hide, be ruled by criminals or judged as ones.",
A18430,validation,in favor of,Intelligence tests bring more harm than good?,Humility,"people that do well at intelligence tests are the ones supporting it, causing inequality in their favor, instead of using other empirically valid test.",
A25394,validation,against,Should Surrogacy be banned?,Stimulation,it gives women a chance to be a mother if they themselves can't conceive,
E07065,training,in favor of,Should There be no immigration from non-European or non-first-world countries?,Tradition,"Europe must stay Europe and people must not be imposed a cultural and religious change they do not want and which is insane. Look at what the Arabic or north African countries have become, after 1400 years of Islam.",
A32381,test,against,Should we close Guantanamo Bay detention camp?,Security: societal,guantanamo bay has been useful in extracting information from enemy combatants and should not be closed.,
A19008,training,in favor of,Should we ban factory farming?,Universalism: nature,"factory farming is a cruel and unnatural practice.  we should treat animals better, even if their 'just' going to be used for food.",
A32485,test,in favor of,Should we subsidize stay-at-home dads?,Security: personal,any person who stays home and takes cares of kids should be subsidized as parenting is a full time job,
A31165,test,in favor of,Should we end affirmative action?,Universalism: tolerance,"even if all people are qualified, affirmative action comes from the perspective that women or minorities are inferior to white men, which promotes a superior attitude from the majority class.",
A30373,training,against,Should we ban fast food?,Hedonism,in a fast paced society a quick meal is a blessing,
E05030,training,in favor of,"Should The EU set up physical offices, where citizens can address their concerns about Europe?",Conformity: interpersonal,"As we are transitioning into a more extensive digital age every day we still should not forget that as we age it gets harder to be quick with digital news, information, and advances in society. Therefore even right now our current older generations and future older generations need a physical touch point where competent people would be able to introduce on the spot what that one person as a citizen of the European Union can do that exact day to influence the benefit of Europe and their country.",
A22251,training,against,Should we ban missionary work?,Conformity: interpersonal,missionary work brings aid to those in dire circumstances while introducing faith into the lives of those that will benefit from the introductory by missionaries.,
D27075,training,in favor of,Censorship of movies is an outdated concept?,Self-direction: thought,"Filmmakers spend lot of money and time to make movies. If parts of the movie is cut in the name of censorship, they will be discouraged to make more movies.",
E07198,training,in favor of,We need a stand-alone European army?,Power: dominance,A European army is not only needed to attack and defend but to give weight to European words. ,
A29022,training,in favor of,Should we adopt gender-neutral language?,Humility,"in order that gender-neutral people feel comfortable and not exluded from society, gender-neutral language should be adopted.",
E04139,training,in favor of,Should The EU immediately end the refugee deal with Turkey?,Security: societal,Turkey is an enemy. It uses this deal to make a threat. Stop it now and send patrols to the Greek border or welcome them.,
A27203,test,in favor of,Should we abandon marriage?,Universalism: objectivity,marriage is an outdated custom - so many people divorce that it seems pointless,
A29435,validation,against,Foster care brings more harm than good?,Benevolence: caring,foster care can provide a child with a family dynamic,
A18114,training,against,Should we ban missionary work?,Benevolence: caring,missionary work can sometimes provide communities in need around the world with access to education and resources.,
A28338,training,against,Should we ban cosmetic surgery for minors?,Universalism: nature,"its their body minors should be able to do what they want, especially if its impacting their self image",
A29354,validation,in favor of,Intelligence tests bring more harm than good?,Universalism: tolerance,intelligence tests are a waste of money and discriminate against some children,
A21350,training,in favor of,Should we stop the development of autonomous cars?,Universalism: nature,it is a waste of resources.  we should develop more environmental friendly cars instead.,
A07039,training,in favor of,Should we ban missionary work?,Conformity: interpersonal,missionaries are intrusive to other countries and very invasive to the culture.,
A21499,validation,in favor of,Foster care brings more harm than good?,Tradition,children with behavioral problems could not adapt well to new homes,
E02027,training,in favor of,Should Immigrants receive help from the EU through integration programs?,Face,"It is essential that European principles and values are taught to migrants, including an explanation of the reasoning behind these principles and values. It would be best that this is provided both in the person's mother tongue and in the language of the host country. ",
E04090,training,against,We do not need immigration from non-European or non-first-world countries?,Benevolence: caring,"Migration has been a fact of history and successful societies have found ways to turn migration into strength. In our case in order to alleviate the current challenge in the long term we need to alleviate migration pressure by making it attractive for migrants to stay put and help develop their own countries. Such a helpful project, a European Marshal Plan for Africa would be a good project to invest in. The long-term return on investment would be more than financial: A friendly neighbor continent, good relationships, access to the African market, and natural resources. That is not a short-term fix. And there is no short-term fix. We have to play the long game!",
A21444,training,against,Should we ban missionary work?,Benevolence: caring,missionary work helps bring medicine and food to areas of the world who would otherwise suffer without it. we have a duty to help all humans no matter where they are,
A22150,training,in favor of,Should we limit executive compensation?,Achievement,executive compensation should be limited because it is not fair that a ceo should not make that much more than the regular workers in a company.,
E07225,training,against,We need a revision of the current asylum policy in the European Union?,Universalism: tolerance,"There are Memberstaates in the European Union, that do not want any asylum seekers in their country. For example, Denmark sends back all Syrens and other Arabians.",
A22184,training,against,Should we introduce compulsory voting?,Universalism: objectivity,you can require voting but you can't force people to educate themselves about the candidates and issues,
A23329,validation,against,Should The use of public defenders be mandatory?,Power: resources,"because the state pays for public defenders they have a smaller budget, meaning that valuable resources are not available which could compromise cases",
A32442,test,against,Should we ban naturopathy?,Universalism: nature,Naturopathy is a way to use natural methods of healing and avoid the side effects of conventional medicines.,
A19370,validation,in favor of,Social media brings more harm than good?,Stimulation,it instill a culture of selfish self importance,
A21019,validation,in favor of,Should Homeschooling be banned?,Conformity: rules,homeschooling deprived children off a proper education and is isolating and should be banned.,
A18223,training,in favor of,Should we subsidize space exploration?,Self-direction: thought,space exploration needs our support to help us understand the universe and our place in it.,
A28431,training,in favor of,Should we cancel pride parades?,Conformity: interpersonal,pride parades are often have displays of almost naked people and sexual imagery.,
A18243,training,against,Should we ban factory farming?,Security: personal,factory farming is a great way to get more food for everyone,
A20427,validation,in favor of,Should we abandon television?,Self-direction: thought,"Television is an outdated modality that lures people into inactive passivity, it is dangerous to well-being and should be banned",
A24007,training,in favor of,Should we ban cosmetic surgery?,Security: personal,we should ban cosmetic surgery because the patients might get cancer when it is done over and over again,
A12166,training,against,Should we ban algorithmic trading?,Universalism: objectivity,algorithmic trading is faster and more accurate than human guesswork and so provides greater value to shareholders.,
E02017,training,in favor of,Should Immigrants integrate through work?,Face,"I work on a programme in Ireland to help migrants, refugees and asylum seekers get employment and integrate.  The qualifications, skills, experience and resilience they bring is amazing and so valuable to employers and the country.  There is far too much focus on negative aspects of migration, much of it based on incorrect stereotypes.  Migration brings lots of positives to countries but we need to be open to them.",
A27067,validation,in favor of,Should Payday loans be banned?,Power: resources,"Payday loans have incredibly abusive interests rates, sometimes in the triple digits, which are unfair to those that are in desperate need of financial assistance.",
E07277,training,in favor of,Should There be a reform of EU trade and investment policy and a relaunch of global multilateralism?,Universalism: nature,The EU needs to both promote and uphold the highest social and environmental standards in its internal as well as external policies. Human rights and collective agreements must never be seen as barriers to trade!,
A22493,training,in favor of,Should we abolish zoos?,Universalism: nature,zoos are an outdated and cruel form of entertainment that enslaves captured animals and leaves them in climates they are often not suited to.,
A25267,training,in favor of,Should we end mandatory retirement?,Achievement,Older workers  provide maturity and experience and can be loyal and productive employees past the age of 65 or even 70,
A20280,validation,in favor of,Should Assisted suicide be a criminal offence?,Conformity: rules,it is possible that this could be used as a murder in some cases.,
E03033,validation,against,Should we impose an IQ test to immigrants?,Universalism: concern,This is a huge discrimination.  Everyone should have the chance to develop to a personal level. Or should we all do an IQ-test to stay in our country? Because it could avoid dangerous things like rasicm. ,
A27251,training,in favor of,Should we stop the development of autonomous cars?,Achievement,autonomous cars will cause unemployment for people whose only skill is driving.,
A19454,validation,in favor of,Should The vow of celibacy be abandoned?,Universalism: nature,the vow of celibacy puts undue pressure on priests to have a lifestyle that is unnatural and has been linked to child abuse cases because of their frustration.,
A26008,training,against,Should we fight for the abolition of nuclear weapons?,Universalism: concern,nuclear weapons should not be abolished because they provide a safety net.   rogue nations have fear of the power of nuclear weapons.,
D01138,test,against,Should Retirement homes become more common?,Conformity: interpersonal,The residents might be ill-treated by the authorities at the retirement homes.,
A20270,validation,against,Should Entrapment be legalized?,Self-direction: action,entrapment could lead to people being charged with crimes that they wouldn't have committed if the opportunity wasn't presented to them and should therefore not be legalized,
A07034,training,against,Should we legalize cannabis?,Security: personal,cannabis especially the skunk variety can be very harmful to people and can lead on to them using harder drugs so therefore it should be illegal.,
A21415,training,against,Should we adopt atheism?,Conformity: interpersonal,"the most basic right we have is freedom of religion, and it is very strong personal belief.  atheism strips that away and should not be encouraged.",
A18108,training,against,Should we adopt gender-neutral language?,Achievement,"other languages such as spanish and french have even more gendered language than we do, and they have no problems",
A30287,training,against,Should we fight for the abolition of nuclear weapons?,Self-direction: thought,"nuclear weapons development leads to other non-combative discoveries, such as nuclear energy.",
A22376,training,in favor of,Should we ban telemarketing?,Security: personal,telemarketing can cause a lot of stress to older and vulnerable members of society who do not know how to deal with it.,
A23037,training,against,Should we legalize cannabis?,Face,cannabis can lead to experimentation with more dangerous drugs.  legalizing it would make it easier for youth to acquire.,
A27485,validation,against,Should Homeschooling be banned?,Tradition,homeschooling provides a family that is close,
E07257,training,in favor of,Should Norway and Iceland be invited to the European Conference?,Universalism: objectivity,Norway and Iceland can provide their external point of view toward EU policy at the conference. But why only Norway and Iceland? Why not Switzerland? Why not the recognized candidates?   And maybe even UK! I'm sure there are many lessons to learn from their experience in the EU and from the Brexit,
E07183,training,against,We need an inclusive language for all citizens of the world: the Esperanto?,Universalism: tolerance,"If there are language problems, we need to work on national integration systems, e.g. in France where English is being thought in French. language.",
A19428,training,in favor of,Should we abolish the three-strikes laws?,Power: dominance,"three -strikes laws take discretion away from judges.  a person committing a minor crime could be sentenced to life if he had a criminal history from long ago.  these laws backlog our courts, cram our prisons.",
A22440,training,in favor of,Should we ban cosmetic surgery?,Benevolence: caring,cosmetic surgery is pointless and takes doctors away from other important fields such as family care,
A31039,test,against,Should we ban naturopathy?,Conformity: rules,We should not ban naturopathy because it is better to regulate the products than to have them in the black market,
E01029,training,against,Should Gas and nuclear power be supported with money from European countries?,Universalism: nature,"Gas power plants produce CO2. Climate-damaging methane is released during extraction and transport, nuclear power plants produce radioactive waste - a legacy for future generations - not to mention the current danger of release, e.g. through attacks, geological events, or operational accidents due to human or technical errors. ",
A20012,training,in favor of,Should we subsidize embryonic stem cell research?,Universalism: objectivity,"we definitely should, this research can make significant breakthroughs for musical science",
A26022,training,in favor of,Should we ban missionary work?,Conformity: interpersonal,"Missionary work isn't suitable to our times, and to be honest it was always patronizing and westernizing.",
E02097,validation,in favor of,Should we improve migration policies?,Achievement,The EU could play an important role in combatting misconceptions about immigration.  Immigration needs to be controlled sensibly and immigrants should be taught European values and principles as well as the language of the host country. ,
A31062,test,against,Should we subsidize stay-at-home dads?,Benevolence: dependability,society cannot afford to subsidise stay-at-home dads.,
A25424,training,against,Should we abandon the use of school uniform?,Security: personal,this practice insures students are all equal in dress and ensures students will not come to school in inappropriate clothing.,
A28201,test,in favor of,Should we prohibit flag burning?,Conformity: interpersonal,flag burning should be prohibited because it can antagonize people in our country who take the flag and it's meaning seriously,
A32326,test,against,Should we legalize polygamy?,Security: societal,we shouldn't legalize polygamy because it often denigrate women and favors men in these marriages. the man often ends up having lots of children which harms the children because they don't get proper attention,
E01061,training,in favor of,Should Intensive livestock farming disappear?,Universalism: objectivity,"In Germany, 60% of the land is used for animal feed. In determining how much subsidy a holding receives, the area of the holding is decisive. In other words, a lot of land, a large amount of subsidy. This results in cheap animal feed and, ultimately, intensive livestock farming. Thus, if the state subsidises animal feed and livestock farming on the basis of their size and not on the basis of sustainability and animal welfare, the concept of intensive livestock farming will be supported.",
A27375,training,in favor of,Should we ban whaling?,Universalism: nature,whaling is causing the depletion of the whale species.   we don't need to lose another species of animal on the planet.,
A18478,training,against,Should we introduce compulsory voting?,Self-direction: action,some people choose not to vote for ethical reasons.,
A21260,training,in favor of,Should we ban cosmetic surgery?,Humility,cosmetic surgery is ruining the confidence of young girls and making them feel like their not good enough without such surgeries.,
A12176,validation,against,Intelligence tests bring more harm than good?,Face,intelligence tests are there to recognize kids who are smarter and to be given proper chance.,
D01088,validation,against,Consumerism brings more harm than good?,Power: resources,"On the economic side, consumerism had a positive impact. Due to the increase in wages, people started buying more. Due to increased demand, aided by increased supply (due to the setting up of factories) entrepreneurial activity got a boost. Businesses were set up, jobs increased, wages improved and living standards improved. Overall, the world took a turn for the better. This made everyone look at consumerism (or for them, vanity) in a different light. Instead of being a stigma, it actually became a boon.",
A19330,validation,in favor of,Should Homeschooling be banned?,Face,all children should receive the same education to ensure a standard of learning is established.,
A22267,validation,in favor of,Intelligence tests bring more harm than good?,Benevolence: caring,intelligence tests bring more harm than good because people can get competitive over them which can lead to isolation.,
A25425,training,in favor of,Should we adopt an austerity regime?,Universalism: nature,adopting now an austerity regime will help future generations to cope with the limited  resources  we have.,
E02056,training,in favor of,"We need a common migration and asylum policy, based on respect for rights and equal treatment?",Tradition,"Respect for human rights and effort sharing, and solidarity should be common sense in EU member states. Unfortunately, they're not yet.",
A31093,test,against,Should we abandon marriage?,Self-direction: thought,marriage is a sacred thing for many people and should not be abandoned.,
A19269,validation,in favor of,Intelligence tests bring more harm than good?,Universalism: tolerance,"People possess many different forms of I Q, from logical IQ to emotional IQ and that might not always be highlighted in standard IQ tests",
A31140,test,in favor of,Should we close Guantanamo Bay detention camp?,Conformity: rules,guatanamo bay operates illegally because they use torture..,
A24262,training,against,Should we end the use of economic sanctions?,Achievement,without the use of economic sanctions a country has very little way of objecting to another country's actions without resorting to violence.,
A22452,training,in favor of,Should we ban missionary work?,Humility,missionary work is no longer necessary in the world today and is too risky to continue.,
A07073,training,against,Should we ban the use of child actors?,Humility,we should not ban the use of child actors because we would not have the shows and movies that are otherwise available.,
A18429,validation,in favor of,Social media brings more harm than good?,Benevolence: dependability,social media provides an easy way for people to bully others without having to face the person they are bullying.,
A24216,training,against,Should we adopt a zero-tolerance policy in schools?,Universalism: concern,"Zero-tolerance policies leave no room for explaining mitigating circumstances, which is both unfair to the individual being punished and also sends a negative message to the school community as a whole.",
A29254,training,in favor of,Should we ban factory farming?,Universalism: nature,"they accuse the factory farming of being cruel to the treatment of animals. the current demand demands high production methods, it would be cruel to be unable to satisfy the national demand.",
A24484,training,in favor of,Should we oppose collectivism?,Universalism: concern,"We should oppose collectivism because while it can be used to help everyone, it gives too much power to the collective to hurt individuals.",
A26074,validation,in favor of,Should Holocaust denial be a criminal offence?,Conformity: interpersonal,"when you deny the holocaust, it is insulting to people who are actually affected by it.",
A05010,validation,against,Should The use of public defenders be mandatory?,Self-direction: thought,"a person accused of a crime should have the right to pick their own defense, whether that is to pick the defender they think will be most capable or that they find makes them more comfortable.",
D02060,test,against,Should we ban NFTs?,Self-direction: thought,"NFTs help artists sell their paintings, music, etc. for a good amount of money, which may not be possible before NFTs.",
A21063,validation,in favor of,Should The vow of celibacy be abandoned?,Hedonism,the vow of celibacy should be abandoned to prevent such unattainable pressures being placed upon religious leaders,
A29022,training,in favor of,Should we adopt gender-neutral language?,Security: personal,"in order that gender-neutral people feel comfortable and not exluded from society, gender-neutral language should be adopted.",
E07262,training,against,We need legal ways of migration?,Benevolence: dependability,Migrants sell drugs.,
A17020,training,against,Should we limit judicial activism?,Universalism: tolerance,modern days require modern measures and judicial activism brings present day thinking and opinions into important cases to stay up to date,
D01028,training,in favor of,Technology is making us feel less human?,Conformity: rules,"Some companies are building strategies to use their apps for a longer time, to keep us addicted to their apps and devices so that they can show advertisements to us. And also they can use our data to manipulate our decisions for their profits. These strategies are turning humans into just targets.",
A24257,validation,against,Should Payday loans be banned?,Benevolence: caring,payday loans are sometimes the only resort people have to turn to to avoid becoming homeless or having their utilities disconnected.,
A27085,training,against,Should we fight for the abolition of nuclear weapons?,Security: societal,nuclear weapons are vital to defending ourselves against enemies who are not moral or ethical.,
A19470,training,in favor of,Should we abolish zoos?,Universalism: nature,some zoos have terrible living conditions and the animals aren't stimulated at all,
A27389,validation,against,Should The vow of celibacy be abandoned?,Self-direction: action,the vow of celibacy shouldn't be abandoned as everyone has a choice if they want to indulge in such activities,
A21067,training,against,Should we ban the use of child actors?,Benevolence: caring,it would not be possible to portray society realistically if child actors are banned because children are an important part of many dramas,
A31327,test,against,Should we fight urbanization?,Stimulation,urbanization can help people become more social and active due to lots of things happening around them,
A29170,training,against,Should we prohibit school prayer?,Tradition,school prayer should not be prohibited because it allows students a period of quiet reflection that may help create the correct atmosphere for study,
A22251,training,against,Should we ban missionary work?,Tradition,missionary work brings aid to those in dire circumstances while introducing faith into the lives of those that will benefit from the introductory by missionaries.,
E05081,training,in favor of,The European Union needs to equip itself with the institutional and legal tools to resolve democratic conflicts on sovereignty within its own borders?,Self-direction: action,"In a democracy, people have the right to decide on any issue that affects their lives. If more than half of the inhabitants of a region want to form an independent state, they have the right to do so. Going against it is going against the will of the majority of citizens, and therefore, against the very essence of democracy.",
A07036,training,in favor of,Should we limit judicial activism?,Power: dominance,judicial activism relies too heavily upon personal opinion and leads to bias.,
E04108,training,in favor of,We do not need immigration from non-European or non-first-world countries?,Security: societal,"There's nothing wrong with not wanting your continent to become chaos and putting your people first, every civilization in this world takes that idea as self-evident. We need to negotiate Remigration deals with the 3rd countries to send their nationals back and we need to use Frontex to push back any migrants coming to our borders.",
A21063,validation,in favor of,Should The vow of celibacy be abandoned?,Universalism: tolerance,the vow of celibacy should be abandoned to prevent such unattainable pressures being placed upon religious leaders,
A25194,validation,against,Should Homeschooling be banned?,Conformity: rules,homeschooling may be beneficial in certain situations. such as for children who are being bullied.,
E07248,training,against,Should The EU play a major role in a multipolar world?,Power: dominance,"Democracy and civilization are the essences of Europe and the EU must uphold those values. For me, the word civilization is also to be civil, which in some way is the opposite of being militarized.  The EU should not be a superpower.  Nuclear detergence should be enough.   ",
E05070,training,in favor of,Should The EU focus on pragmatism?,Benevolence: caring,"Pragmatism was in the EU’s DNA since its inception, but this is sadly no longer the case. The current EU is not a moral authority, it is a political organization based on mutual interests and political diversity.",
A28417,validation,in favor of,Should Homeschooling be banned?,Achievement,homeschooling does not allow the child or children to socialize with others of their own age.,
D01134,test,against,Should Retirement homes become more common?,Power: resources,Any retirement home worth spending the rest of your life in is quite costly for a middle-class family.,
A24077,validation,in favor of,Should Blockade of the Gaza Strip be ended?,Security: personal,What are we waiting for? Do we want to see old people and babies dying from lack of basic health conditions and bad infrastructure? Well they already are.,
A23420,training,in favor of,Should we ban missionary work?,Benevolence: dependability,we should ban missionary work as it could be dangerous,
A18472,validation,against,Should Blockade of the Gaza Strip be ended?,Security: personal,The blockade is an alternative to conventional warfare against Gaza which would cause more harm / death to Palestinians.,
