question,value,positive_answer,negative_answer
Should I get upset easily?,Stability,,I get upset easily.
Should I give up easily?,Poise,,I give up easily.
Should I go my own way?,Sociability,,I go my own way.
Should I hate to seem pushy?,Provocativeness,,I hate to seem pushy.
Should I have crying fits?,Imperturbability,,I have crying fits.
Should I have days when I'm mad at the world?,Calmness,,I have days when I'm mad at the world.
Should I have difficulty expressing my feelings?,Leadership,,I have difficulty expressing my feelings.
Should I have difficulty imagining things?,Ingenuity,,I have difficulty imagining things.
Should I have difficulty starting tasks?,Efficiency,,I have difficulty starting tasks.
Should I have difficulty understanding abstract ideas?,Creativity,,I have difficulty understanding abstract ideas.
Should I have frequent mood swings?,Tranquility,,I have frequent mood swings.
Should I have little to say?,Leadership,,I have little to say.
Should I impose my will on others?,Cooperation,,I impose my will on others.
Should I insult people?,Pleasantness,,I insult people.
Should I jump into things without thinking?,Cautiousness,,I jump into things without thinking.
Should I keep in the background?,Gregariousness,,I keep in the background.
Should I keep my thoughts to myself?,Gregariousness,,I keep my thoughts to myself.
Should I keep others at a distance?,Friendliness,,I keep others at a distance.
Should I keep up an appearance?,Cool-headedness,,I keep up an appearance.
Should I laugh at the slightest provocation?,Cautiousness,,I laugh at the slightest provocation.
Should I leave my work undone?,Conscientiousness,,I leave my work undone.
Should I let my attention wander off?,Rationality,,I let my attention wander off.
Should I let others make the decisions?,Leadership,,I let others make the decisions.
Should I let people pull my leg?,Rationality,,I let people pull my leg.
Should I like to act on a whim?,Cautiousness,,I like to act on a whim.
Should I like to be alone?,Sociability,,I like to be alone.
Should I like to gossip?,Impulse-Control,,I like to gossip.
Should I like to laugh out loud?,Cautiousness,,I like to laugh out loud.
Should I listen to my brain rather than my heart?,Sympathy,,I listen to my brain rather than my heart.
Should I look down on any weakness?,Sympathy,,I look down on any weakness.
Should I love a good fight?,Cooperation,,I love a good fight.
Should I love order and regularity?,Cool-headedness,,I love order and regularity.
Should I make a mess of things?,Purposefulness,,I make a mess of things.
Should I make enemies?,Nurturance,,I make enemies.
Should I make rash decisions?,Dutifulness,,I make rash decisions.
Should I mess things up?,Purposefulness,,I mess things up.
Do I need a lot of time to do things?,Assertiveness,,I need a lot of time to do things.
Do I need a push to get started?,Efficiency,,I need a push to get started.
Should I neglect my duties?,Conscientiousness,,I neglect my duties.
Should I never challenge things?,Depth,,I never challenge things.
Should I often feel blue?,Happiness,,I often feel blue.
Should I often feel uncomfortable around others?,Poise,,I often feel uncomfortable around others.
Should I often forget to put things back in their proper place?,Conscientiousness,,I often forget to put things back in their proper place.
Should I often make a fuss?,Impulse-Control,,I often make a fuss.
Should I often make last-minute plans?,Cautiousness,,I often make last-minute plans.
Should I only feel comfortable with friends?,Poise,,I only feel comfortable with friends.
Should I only talk about my own interests?,Morality,,I only talk about my own interests.
Should I oppose authority?,Nurturance,,I oppose authority.
Should I overestimate my achievements?,Morality,,I overestimate my achievements.
Should I panic easily?,Toughness,,I panic easily.
Should I pay no attention to my appearance?,Dutifulness,,I pay no attention to my appearance.
Should I play tricks on others?,Cooperation,,I play tricks on others.
Should I postpone decisions?,Efficiency,,I postpone decisions.
Should I prefer to deal with strangers in a formal manner?,Self-disclosure,,I prefer to deal with strangers in a formal manner.
Should I pretend to be concerned for others?,Empathy,,I pretend to be concerned for others.
Should I put little time and effort into my work?,Organization,,I put little time and effort into my work.
Should I put off unpleasant tasks?,Conscientiousness,,I put off unpleasant tasks.
Should I put people under pressure?,Nurturance,,I put people under pressure.
Should I rarely look for a deeper meaning in things?,Depth,,I rarely look for a deeper meaning in things.
Should I rarely smile?,Warmth,,I rarely smile.
Should I react intensely?,Impulse-Control,,I react intensely.
Should I retreat from others?,Poise,,I retreat from others.
Should I reveal little about myself?,Friendliness,,I reveal little about myself.
Should I say inappropriate things?,Dutifulness,,I say inappropriate things.
Should I scheme against others?,Morality,,I scheme against others.
Should I seek conflict?,Cooperation,,I seek conflict.
Should I seek danger?,Nurturance,,I seek danger.
Should I seek quiet?,Sociability,,I seek quiet.
Should I seldom joke around?,Self-disclosure,,I seldom joke around.
Should I seldom notice details?,Organization,,I seldom notice details.
Should I shirk my duties?,Purposefulness,,I shirk my duties.
Should I shoot my mouth off?,Impulse-Control,,I shoot my mouth off.
Should I speak softly?,Talkativeness,,I speak softly.
Should I sympathize with the homeless?,Rationality,,I sympathize with the homeless.
Should I take no time for others?,Understanding,,I take no time for others.
Should I take offense easily?,Toughness,,I take offense easily.
Should I take tasks too lightly?,Conscientiousness,,I take tasks too lightly.
Should I talk even when I know I shouldn't?,Impulse-Control,,I talk even when I know I shouldn't.
Should I tell tall stories about myself?,Cooperation,,I tell tall stories about myself.
Should I dislike soft-hearted people?,Sympathy,,I tend to dislike soft-hearted people.
Should I think too highly of myself?,Cooperation,,I think too highly of myself.
Should I treat people as inferiors?,Empathy,,I treat people as inferiors.
Should I try not to think about the needy?,Sympathy,,I try not to think about the needy.
Should I try to avoid complex people?,Quickness,,I try to avoid complex people.
Should I try to impress others?,Cool-headedness,,I try to impress others.
Should I try to outdo others?,Nurturance,,I try to outdo others.
Should I turn my back on others?,Morality,,I turn my back on others.
Should I wait for my turn?,Provocativeness,,I wait for my turn.
Should I want everything to add up perfectly?,Cool-headedness,,I want everything to add up perfectly.
Should I want things done my way?,Cool-headedness,,I want things done my way.
Should I want to be told I am right?,Cool-headedness,,I want to be told I am right.
Should I waste my time?,Efficiency,,I waste my time.
Should I wear my heart on my sleeve?,Imperturbability,,I wear my heart on my sleeve.
Should I worry about things?,Happiness,,I worry about things.
Should I be calm even in tense situations?,Responsive Distress,,I am calm even in tense situations.
Should I not be easily disturbed by events?,Responsive Distress,,I am not easily disturbed by events.
Should I not be in touch with my feelings?,Attention to Emotions,,I am not in touch with my feelings.
Should I be unaffected by other people's happiness?,Responsive Joy,,I am unaffected by other people's happiness.
Should I be unaffected by the suffering of others?,Responsive Distress,,I am unaffected by the suffering of others.
Should important decisions be based on logical reasoning?,Emotion-based Decision-making,,I believe important decisions should be based on logical reasoning.
Should I dislike being around happy people when I'm feeling sad?,Responsive Joy,,I dislike being around happy people when I'm feeling sad.
Should I dislike children's birthday parties?,Responsive Joy,,I dislike children's birthday parties.
Should I avoid getting involved in other people's problems?,Empathy,,I don't like to get involved in other people's problems.
Should I feel little concern for others?,Empathy,,I feel little concern for others.
Should I find it difficult showing people that I care about them?,Positive Expressivity,,I find it difficult showing people that I care about them.
Should I find it difficult showing people that I'm angry with them?,Negative Expressivity,,I find it difficult showing people that I'm angry with them.
Should I have difficulty showing affection?,Positive Expressivity,,I have difficulty showing affection.
Should I have little sympathy for the unemployed?,Empathy,,I have little sympathy for the unemployed.
Should I have no sympathy for criminals?,Empathy,,I have no sympathy for criminals.
"Should I keep my feelings to myself, regardless of how scared I am?",Negative Expressivity,,"I keep my feelings to myself, regardless of how scared I am."
"Should I keep my feelings to myself, regardless of how unhappy I am?",Negative Expressivity,,"I keep my feelings to myself, regardless of how unhappy I am."
Should I keep my happy feelings to myself?,Positive Expressivity,,I keep my happy feelings to myself.
Should I listen to my brain rather than my heart?,Emotion-based Decision-making,,I listen to my brain rather than my heart.
Should I look down on any weakness?,Empathy,,I look down on any weakness.
"Should I make decisions based on facts, not feelings?",Emotion-based Decision-making,,"I make decisions based on facts, not feelings."
Should I often ignore my feelings?,Attention to Emotions,,I often ignore my feelings.
Should I plan my life logically?,Emotion-based Decision-making,,I plan my life logically.
Should I rarely analyze my emotions?,Attention to Emotions,,I rarely analyze my emotions.
Should I rarely cry during sad movies?,Responsive Distress,,I rarely cry during sad movies.
Should I rarely get caught up in the excitement?,Responsive Joy,,I rarely get caught up in the excitement.
Should I rarely notice my emotional reactions?,Attention to Emotions,,I rarely notice my emotional reactions.
Should I rarely show my anger?,Negative Expressivity,,I rarely show my anger.
Should I rarely think about how I feel?,Attention to Emotions,,I rarely think about how I feel.
Should I remain calm during emergencies?,Responsive Distress,,I remain calm during emergencies.
Should I wish I could more easily show my negative feelings?,Negative Expressivity,,I wish I could more easily show my negative feelings.
Should I not be concerned with making a good impression?,Public Self-consciousness,,I am not concerned with making a good impression.
Should I not be easily bothered by things?,Public Self-consciousness,,I am not easily bothered by things.
Should I not be embarrassed easily?,Public Self-consciousness,,I am not embarrassed easily.
Should I not try to figure myself out?,Private Self-Consciousness,,I don't try to figure myself out.
Should I not worry about things that have already happened?,Public Self-consciousness,,I don't worry about things that have already happened.
Should I feel comfortable with myself?,Public Self-consciousness,,I feel comortable with myself.
Should I rarely look for a deeper meaning in things?,Private Self-Consciousness,,I rarely look for a deeper meaning in things.
Should I seldom daydream?,Private Self-Consciousness,,I seldom daydream.
Should I seldom feel blue?,Public Self-consciousness,,I seldom feel blue.
Should I seldom get lost in thought?,Private Self-Consciousness,,I seldom get lost in thought.
Should I be a firm believer in thinking things through?,Non-Planfulness,,I am a firm believer in thinking things through.
Should I be a law-abiding citizen?,Norm Violation,,I am a law-abiding citizen.
Should I consider myself a very reliable person?,Irresponsibility,,I am a very reliable person.
Should I be able to describe my feelings easily?,Emotional Detachment,,I am able to describe my feelings easily.
Should I consider myself an energetic person?,Anhedonia,,I am an energetic person.
Should I be an honest person?,Manipulativeness,,I am an honest person.
Should I be open about my feelings?,Emotional Detachment,,I am open about my feelings.
Should I be pretty trusting of others' motives?,Mistrust,,I am pretty trusting of others' motives.
Should I feel secure in my relationships?,Relationship Insecurity,,I am secure in my relationships.
Should I believe that people are basically honest and good?,Mistrust,,I believe that people are basically honest and good.
Should I remain cool-headed when stressed out?,Affective Lability,,I can remain cool-headed when stressed out.
Should I care about others?,Callousness,,I care about others.
Should I not enjoy being in the spotlight?,Exhibitionism,,I don't enjoy being in the spotlight.
Should I not let little things anger me?,Anger,,I don't let little things anger me.
Should I enjoy going to social gatherings?,Social Withdrawal,,I enjoy going to social gatherings.
Should I enjoy sexual experiences intensely?,Romantic Disinterest,,I enjoy sexual experiences intensely.
Should I feel comfortable around people?,Social Withdrawal,,I feel comfortable around people.
Should I finish what I start?,Non-Perseverance,,I finish what I start.
Should I follow through with my plans?,Irresponsibility,,I follow through with my plans.
Should I formulate ideas clearly?,Cognitive Problems,,I formulate ideas clearly.
Should I generally trust my partners to be faithful to me?,Relationship Insecurity,,I generally trust my partners to be faithful to me.
Should I have a good memory for things I've done throughout the day?,Cognitive Problems,,I have a good memory for things I've done throughout the day.
Should I have a lot of fun?,Anhedonia,,I have a lot of fun.
Should I keep my appointments?,Irresponsibility,,I keep my appointments.
Do I know how to cope?,Affective Lability,,I know how to cope.
Should I look at the bright side of life?,Depression,,I look at the bright side of life.
Should I love the feeling of being intimately close with someone?,Romantic Disinterest,,I love the feeling of being intimately close with someone.
Should I make careful choices?,Non-Planfulness,,I make careful choices.
Should I prefer safety over risk?,Risk Taking,,I prefer safety over risk.
Should I rarely feel depressed?,Depression,,I rarely feel depressed.
Should I respect authority?,Norm Violation,,I respect authority.
Should I think that I am in good medical condition?,Health Anxiety,,I think that I am in good medical condition.
Should I describe myself as a normal person?,Peculiarity,,I would describe myself as a normal person.
Should I be a very private person?,Sociability,,I am a very private person.
Should I be easily discouraged?,Energy Level,,I am easily discouraged.
Should I not be concerned with making a good impression?,Cooperativeness,,I am not concerned with making a good impression.
Should I not be easily frustrated?,Anxiety,,I am not easily frustrated.
Should I not be interested in abstract ideas?,Complexity,,I am not interested in abstract ideas.
Should I not be interested in theoretical discussions?,Complexity,,I am not interested in theoretical discussions.
Should I be relaxed most of the time?,Anxiety,,I am relaxed most of the time.
Should I avoid difficult reading material?,Breadth of Interest,,I avoid difficult reading material.
Should I avoid philosophical discussions?,Complexity,,I avoid philosophical discussions.
Should I believe that I am better than others?,Responsibility,,I believe that I am better than others.
Should I cheat to get ahead?,Responsibility,,I cheat to get ahead.
Should I disregard rules?,Responsibility,,I disregard rules.
Should I not enjoy going to art museums?,Breadth of Interest,,I do not enjoy going to art museums.
Should I not like art?,Breadth of Interest,,I do not like art.
Should I not like concerts?,Breadth of Interest,,I do not like concerts.
Should I not like poetry?,Complexity,,I do not like poetry.
Am I doing too little work?,Energy Level,,I do too little work.
Should I not consider myself religious?,Traditional Values,,I don't consider myself religious.
Should I not like the idea of change?,Tolerance,,I don't like the idea of change.
Should I avoid drawing attention to myself?,Social Confidence,,I don't like to draw attention to myself.
Should I think that laws don't apply to me?,Responsibility,,I don't think laws apply to me.
Should I not understand people who get emotional?,Empathy,,I don't understand people who get emotional.
Should I doubt the value of religion?,Traditional Values,,I doubt the value of religion.
Is it OK that some people don't like me?,Cooperativeness,,I feel it's OK that some people don't like me.
Should I find it difficult to manipulate others?,Social Astuteness,,I find it difficult to manipulate others.
Should I hang around doing nothing?,Energy Level,,I hang around doing nothing.
Should I hate being the center of attention?,Social Confidence,,I hate being the center of attention.
Should I hate being the center of attention?,Social Astuteness,,I hate being the center of attention.
Should I have a slow pace to my life?,Energy Level,,I have a slow pace to my life.
Should I have little to say?,Social Confidence,,I have little to say.
Should I hold a grudge?,Tolerance,,I hold a grudge.
Should I hurt people?,Responsibility,,I hurt people.
Do I lack the talent for influencing people?,Social Confidence,,I lack the talent for influencing people.
Do I lack the talent for influencing people?,Social Astuteness,,I lack the talent for influencing people.
Do I need a push to get started?,Energy Level,,I need a push to get started.
Should I often feel uncomfortable around others?,Social Confidence,,I often feel uncomfortable around others.
Should I prefer to be alone?,Sociability,,I prefer to be alone.
Should I stick with things that I know?,Breadth of Interest,,I prefer to stick with things that I know.
Should I put off unpleasant tasks?,Organization,,I put off unpleasant tasks.
Should I rarely get irritated?,Anxiety,,I rarely get irritated.
Should I seldom get emotional?,Empathy,,I seldom get emotional.
Should I stick to the rules?,Risk Taking,,I stick to the rules.
Should I tend to vote for liberal political candidates?,Traditional Values,,I tend to vote for liberal political candidates.
Should I try to avoid complex people?,Complexity,,I try to avoid complex people.
Should I want to be different from others?,Cooperativeness,,I want to be different from others.
Should I want to form my own opinions?,Cooperativeness,,I want to form my own opinions.
Should I waste my time?,Organization,,I waste my time.
Should I avoid probing deeply into a subject?,Innovation,,I will not probe deeply into a subject.
Should I never go hang-gliding or bungee-jumping?,Risk Taking,,I would never go hang-gliding or bungee-jumping.
Should I never make a high-risk investment?,Risk Taking,,I would never make a high risk investment.
Should I act comfortably with others?,Alienation,,I act comfortably with others.
Should I not be easily bothered by things?,Neuroticism,,I am not easily bothered by things.
Should I often be in a bad mood?,Wellbeing,,I am often in a bad mood.
Should I be relaxed most of the time?,Neuroticism,,I am relaxed most of the time.
Should I be willing to try anything once?,Harm Avoidance,,I am willing to try anything once.
Should I avoid company?,Social Closeness,,I avoid company.
Should I believe in the importance of art?,Traditionalism,,I believe in the importance of art.
Should I believe that criminals should receive help rather than punishment?,Traditionalism,,I believe that criminals should receive help rather than punishment.
Should I believe that there is no absolute right and wrong?,Traditionalism,,I believe that there is no absolute right and wrong.
Should I do crazy things?,Harm Avoidance,,I do crazy things.
Should I do dangerous things?,Harm Avoidance,,I do dangerous things.
Should I do too little work?,Achievement,,I do too little work.
Should I not consider myself religious?,Traditionalism,,I don't consider myself religious.
Should I avoid drawing attention to myself?,Assertiveness,,I don't like to draw attention to myself.
Should I not worry about things that have already happened?,Neuroticism,,I don't worry about things that have already happened.
Should I enjoy being reckless?,Harm Avoidance,,I enjoy being reckless.
Should I feel that my life lacks direction?,Wellbeing,,I feel that my life lacks direction.
Should I find it difficult to manipulate others?,Assertiveness,,I find it difficult to manipulate others.
Should I have a dark outlook on the future?,Wellbeing,,I have a dark outlook on the future.
Should I have a low opinion of myself?,Wellbeing,,I have a low opinion of myself.
Should I have a slow pace to my life?,Achievement,,I have a slow pace to my life.
Should I have little to say?,Assertiveness,,I have little to say.
Should I jump into things without thinking?,Control,,I jump into things without thinking.
Should I keep in the background?,Assertiveness,,I keep in the background.
Should I like to act on a whim?,Control,,I like to act on a whim.
Should I make a mess of things?,Control,,I make a mess of things.
Should I make rash decisions?,Control,,I make rash decisions.
Should I often feel blue?,Wellbeing,,I often feel blue.
Should I often make last-minute plans?,Control,,I often make last-minute plans.
Should I rarely complain?,Aggression,,I rarely complain.
Should I rarely get irritated?,Aggression,,I rarely get irritated.
Should I rarely look for a deeper meaning in things?,Absorption,,I rarely look for a deeper meaning in things.
Should I seek adventure?,Harm Avoidance,,I seek adventure.
Should I seek danger?,Harm Avoidance,,I seek danger.
Should I seldom get mad?,Aggression,,I seldom get mad.
Should I take risks?,Harm Avoidance,,I take risks.
Should I tend to vote for liberal political candidates?,Traditionalism,,I tend to vote for liberal political candidates.
Should I try to forgive and forget?,Aggression,,I try to forgive and forget.
Should I never take things that aren't mine?,Aggression,,I would never take things that aren't mine.
